mz_L,mz_R,tot_estimate,tot_intensity
63.71,63.81,0.0,27.69
64.92,65.02,0.0,57.68
83.03,83.13,0.0,92.45
87.02,87.12,0.0,83.77
99.9,100.0,0.0,48.4
100.06,100.16,0.0,563.2
100.17,100.27,0.0,16.62
101.06,101.16,0.0,88.34
104.0,104.1,0.0,117.0
112.03,112.13,0.0,259.0
115.03,115.13,0.0,55.6
119.02,119.12,0.0,61.4
129.07,129.17,0.0,31.21
130.07,130.17,0.0,46.76
130.98,131.08,0.0,62.31
144.08,144.18,0.0,35.2
155.03,155.13,0.0,117.3
156.04,156.14,0.0,109.3
158.01,158.11,0.0,510.5
159.06,159.16,0.0,86.33
168.05,168.15,0.0,239.6
170.04,170.14,0.0,547.0
171.09,171.19,0.0,1400.0
172.1,172.2,0.0,217.5
173.07,173.17,0.0,38.66
174.08,174.18,0.0,145.0
179.01,179.11,0.0,148.5
182.01,182.11,0.0,68.44
184.52,184.62,0.0,62.7
186.0,186.1,0.0,741.9
187.07,187.17,0.0,911.1
188.0,188.1,0.0,156.4
188.07,188.17,0.0,121.3
188.2,188.3,0.0,21.04
192.05,192.15,0.0,61.08
194.08,194.18,0.0,64.7
200.15,200.25,0.0,53.41
201.09,201.19,0.0,66.83
203.03,203.13,0.0,1243.0
205.02,205.12,0.0,332.9
205.2,205.3,0.0,21.14
206.03,206.13,0.0,112.2
212.09,212.19,0.0,152.2
217.1,217.2,0.0,51.02
227.12,227.22,0.0,602.0
228.11,228.21,0.0,183.7
229.06,229.16,0.0,169.4
235.11,235.21,0.0,28.92
253.12,253.22,0.0,178.7
254.11,254.21,0.0,191.4
264.17,264.27,0.0,61.24
280.77,280.87,0.0,95.76
282.11,282.21,0.0,42.9
285.71,285.81,0.0,42.28
291.14,291.24,0.0,105.9
301.13,301.23,0.0,41.8
302.01,302.11,0.0,46.2
305.21,305.31,0.0,93.89
320.13,320.23,0.0,53.47
325.07,325.17,0.0,24.2
328.07,328.17,0.0,45.85
371.18,371.28,0.0,110.0
376.15,376.25,0.0,282.1
383.23,383.33,0.0,68.16
390.79,390.89,0.0,68.0
394.05,394.15,0.0,38.56
395.05,395.15,0.0,1.807
395.11,395.21,0.0,119.9
402.86,402.96,0.0,66.0
408.96,409.06,0.0,83.99
413.2,413.3,0.0,100.1
413.86,413.96,0.0,89.26
416.17,416.27,0.0,36.3
417.19,417.29,0.0,127.2
421.21,421.31,0.0,61.6
422.66,422.76,0.0,138.4
423.3,423.4,0.0,160.6
433.19,433.29,0.0,67.1
434.19,434.29,0.0,218.9
435.18,435.28,0.0,119.8
435.23,435.33,0.0,65.78
438.82,438.92,0.0,48.03
441.37,441.47,0.0,16.5
444.18,444.28,0.0,335.9
444.53,444.63,0.0,363.1
444.85,444.95,0.0,157.3
445.19,445.29,0.0,128.4
445.61,445.71,0.0,33.28
447.62,447.72,0.0,36.8
448.19,448.29,0.0,73.89
448.79,448.89,0.0,54.58
449.08,449.18,0.0,75.38
449.14,449.24,0.0,236.2
450.59,450.69,0.0,150.9
451.28,451.38,0.0,70.29
452.34,452.44,0.0,123.2
452.97,453.07,0.0,141.3
453.29,453.39,0.0,86.91
453.69,453.79,0.0,99.22
453.81,453.91,0.0,74.95
454.11,454.21,0.0,92.39
455.11,455.21,0.0,282.6
456.32,456.42,0.0,143.0
456.79,456.89,0.0,171.0
456.88,456.98,0.0,50.12
457.07,457.17,0.0,160.5
457.19,457.29,0.0,352.1
457.3,457.4,0.0,17.63
457.5,457.6,0.0,222.6
458.19,458.29,0.0,98.56
458.78,458.88,0.0,49.0
458.87,458.97,0.0,130.4
459.05,459.15,0.0,61.83
459.15,459.25,0.0,150.6
460.01,460.11,0.0,23.17
460.24,460.34,0.0,178.6
466.17,466.27,0.0,107.8
467.15,467.25,0.0,18.7
472.14,472.24,0.0,67.88
482.21,482.31,0.0,73.44
523.73,523.83,0.0,112.9
548.28,548.38,0.0,42.28
552.75,552.85,0.0,174.9
600.77,600.87,0.0,355.9
601.3,601.4,0.0,202.0
609.21,609.31,0.0,54.16
609.78,609.88,0.0,88.35
613.54,613.64,0.0,45.69
619.21,619.31,0.0,48.78
619.99,620.09,0.0,44.73
620.53,620.63,0.0,26.4
621.26,621.36,0.0,164.0
623.33,623.43,0.0,22.15
625.1,625.2,0.0,26.57
652.69,652.79,0.0,68.19
666.11,666.21,0.0,262.0
675.5,675.6,0.0,16.56
679.82,679.92,0.0,197.5
680.55,680.65,0.0,14.32
682.33,682.43,0.0,126.5
682.82,682.92,0.0,523.2
683.35,683.45,0.0,30.79
684.03,684.13,0.0,130.3
685.09,685.19,0.0,87.38
702.3,702.4,0.0,228.7
736.15,736.25,0.0,47.44
741.33,741.43,0.0,108.1
747.28,747.38,0.0,80.17
747.33,747.43,0.0,235.7
760.3,760.4,0.0,128.6
773.37,773.47,0.0,120.5
812.27,812.37,0.0,103.3
841.2,841.3,0.0,108.3
844.36,844.46,0.0,72.56
845.2,845.3,0.0,47.27
858.46,858.56,0.0,32.31
858.67,858.77,0.0,52.32
860.17,860.27,0.0,17.62
861.22,861.32,0.0,75.91
863.16,863.26,0.0,50.07
863.22,863.32,0.0,30.41
875.31,875.41,0.0,185.7
876.34,876.44,0.0,73.34
877.33,877.43,0.0,78.7
877.42,877.52,0.0,62.0
882.1,882.2,0.0,69.08
892.62,892.72,0.0,45.07
895.17,895.27,0.0,77.81
895.5,895.6,0.0,63.44
896.21,896.31,0.0,43.01
896.46,896.56,0.0,129.7
899.18,899.28,0.0,56.1
899.6,899.7,0.0,46.89
900.15,900.25,0.0,28.58
905.09,905.19,0.0,62.27
906.42,906.52,0.0,87.1
906.59,906.69,0.0,22.35
908.17,908.27,0.0,45.14
915.39,915.49,0.0,76.9
921.44,921.54,0.0,125.1
922.43,922.53,0.0,152.8
955.28,955.38,0.0,43.0
967.42,967.52,0.0,31.93
969.44,969.54,0.0,36.77
975.48,975.58,0.0,64.81
984.52,984.62,0.0,21.98
997.49,997.59,0.0,168.2
1003.55,1003.65,0.0,91.63
1003.64,1003.74,0.0,0.7438
1006.54,1006.64,0.0,125.3
1028.47,1028.57,0.0,69.44
1029.49,1029.59,0.0,59.35
1030.52,1030.62,0.0,69.5
1031.53,1031.63,0.0,75.45
1041.51,1041.61,0.0,75.93
1042.55,1042.65,0.0,24.18
1044.54,1044.64,0.0,17.58
1045.22,1045.32,0.0,16.48
1046.01,1046.11,0.0,16.55
1046.78,1046.88,0.0,18.73
1048.28,1048.38,0.0,53.85
1052.26,1052.36,0.0,18.68
1059.53,1059.63,0.0,284.4
1061.14,1061.24,0.0,86.95
1061.57,1061.67,0.0,147.3
1067.58,1067.68,0.0,118.7
1068.54,1068.64,0.0,174.5
1082.24,1082.34,0.0,16.55
1087.54,1087.64,0.0,219.3
1088.51,1088.61,0.0,161.6
1088.59,1088.69,0.0,26.14
1089.54,1089.64,0.0,89.12
1094.48,1094.58,0.0,196.4
1094.55,1094.65,0.0,73.85
1095.51,1095.61,0.0,389.6
1096.5,1096.6,0.0,267.8
1097.5,1097.6,0.0,180.1
1101.56,1101.66,0.0,36.76
1102.64,1102.74,0.0,71.09
1103.66,1103.76,0.0,21.29
1104.17,1104.27,0.0,74.54
1110.49,1110.59,0.0,35.33
1111.49,1111.59,0.0,121.9
1113.3,1113.4,0.0,36.55
1114.33,1114.43,0.0,30.86
1119.55,1119.65,0.0,35.38
1125.52,1125.62,0.0,75.12
1126.56,1126.66,0.0,61.18
1127.5,1127.6,0.0,65.54
1129.5,1129.6,0.0,63.85
1131.47,1131.57,0.0,37.67
1160.63,1160.73,0.0,39.9
1174.64,1174.74,0.0,64.69
1186.54,1186.64,0.0,90.06
1189.66,1189.76,0.0,65.12
1190.56,1190.66,0.0,41.07
1196.57,1196.67,0.0,100.5
1200.61,1200.71,0.0,283.7
1201.68,1201.78,0.0,28.57
1209.65,1209.75,0.0,50.54
1219.75,1219.85,0.0,0.5918
1238.01,1238.11,0.0,28.56
1239.64,1239.74,0.0,28.94
1240.62,1240.72,0.0,113.8
1243.65,1243.75,0.0,56.76
1246.57,1246.67,0.0,72.51
1250.65,1250.75,0.0,72.6
1261.7,1261.8,0.0,25.53
1265.61,1265.71,0.0,69.15
1265.9,1266.0,0.0,49.63
1269.58,1269.68,0.0,76.7
1272.17,1272.27,0.0,16.48
1272.66,1272.76,0.0,76.8
1278.61,1278.71,0.0,154.4
1280.62,1280.72,0.0,50.53
1289.64,1289.74,0.0,430.3
1290.65,1290.75,0.0,1110.0
1290.84,1290.94,0.0,38.61
1291.64,1291.74,0.0,313.3
1292.66,1292.76,0.0,328.7
1294.66,1294.76,0.0,24.17
1301.64,1301.74,0.0,17.61
1303.65,1303.75,0.0,409.2
1304.28,1304.38,0.0,56.28
1304.66,1304.76,0.0,706.9
1305.67,1305.77,0.0,843.8
1306.66,1306.76,0.0,676.9
1307.63,1307.73,0.0,390.3
1308.62,1308.72,0.0,131.2
1308.73,1308.83,0.0,22.11
1309.69,1309.79,0.0,117.8
1312.61,1312.71,0.0,276.3
1316.65,1316.75,0.0,99.96
1317.62,1317.72,0.0,37.98
1318.65,1318.75,0.0,35.42
1319.65,1319.75,0.0,94.47
1320.67,1320.77,0.0,251.3
1321.67,1321.77,0.0,99.84
1321.74,1321.84,0.0,227.5
1322.71,1322.81,0.0,427.1
1323.25,1323.35,0.0,14.31
1325.71,1325.81,0.0,29.73
1326.42,1326.52,0.0,21.01
1328.66,1328.76,0.0,49.98
1332.39,1332.49,0.0,121.9
1332.87,1332.97,0.0,103.5
1334.38,1334.48,0.0,23.35
1335.74,1335.84,0.0,277.8
1336.89,1336.99,0.0,28.93
1341.01,1341.11,0.0,17.87
1344.87,1344.97,0.0,40.9
1346.73,1346.83,0.0,65.19
1346.81,1346.91,0.0,16.9
1347.96,1348.06,0.0,16.54
1348.91,1349.01,0.0,16.65
1349.31,1349.41,0.0,52.73
1350.25,1350.35,0.0,16.54
1350.83,1350.93,0.0,83.8
1351.38,1351.48,0.0,25.26
1351.57,1351.67,0.0,28.07
1351.94,1352.04,0.0,16.66
1353.28,1353.38,0.0,14.52
1353.79,1353.89,0.0,111.2
1357.01,1357.11,0.0,31.27
1358.0,1358.1,0.0,17.6
1363.67,1363.77,0.0,223.9
1364.68,1364.78,0.0,1140.0
1365.69,1365.79,0.0,2833.0
1366.57,1366.67,0.0,1.714
1366.7,1366.8,0.0,1392.0
1367.7,1367.8,0.0,430.7
1368.7,1368.8,0.0,229.0
1369.69,1369.79,0.0,192.6
1370.62,1370.72,0.0,182.4
1371.65,1371.75,0.0,339.0
1371.76,1371.86,0.0,95.91
1372.67,1372.77,0.0,202.0
1373.65,1373.75,0.0,117.0
1374.14,1374.24,0.0,76.11
1380.65,1380.75,0.0,88.82
1381.65,1381.75,0.0,52.22
1383.43,1383.53,0.0,22.02
1387.67,1387.77,0.0,44.09
1404.57,1404.67,0.0,61.51
1418.78,1418.88,0.0,97.2
1421.56,1421.66,0.0,36.53
1422.69,1422.79,0.0,29.73
1423.66,1423.76,0.0,41.75
1429.6,1429.7,0.0,27.55
1431.54,1431.64,0.0,109.3
1431.95,1432.05,0.0,14.31
1433.72,1433.82,0.0,51.16
1435.62,1435.72,0.0,110.0
1443.68,1443.78,0.0,37.49
1450.96,1451.06,0.0,30.75
1460.71,1460.81,0.0,76.84
1461.74,1461.84,0.0,29.78
1466.63,1466.73,0.0,44.45
1480.73,1480.83,0.0,31.91
1484.65,1484.75,0.0,82.57
1498.7,1498.8,0.0,49.93
1499.46,1499.56,0.0,56.26
